intersection_start,intersection_end,intersection_duration
2022-03-28 10:24:06.684485,2022-03-29 04:45:06.221315,0 days 18:20:59.536830
2022-03-29 06:23:06.726844,2022-03-29 09:41:06.590114,0 days 03:17:59.863270
2022-03-29 10:52:06.482381,2022-03-30 04:45:06.449280,0 days 17:52:59.966899
2022-03-30 06:32:06.476923,2022-03-31 04:45:06.344166,0 days 22:12:59.867243
2022-03-31 09:43:06.487717,2022-03-31 16:59:06.924840,0 days 07:16:00.437123
2022-03-31 19:15:06.911146,2022-04-01 04:45:06.604006,0 days 09:29:59.692860
2022-04-01 08:50:06.613515,2022-04-01 11:34:07.096248,0 days 02:44:00.482733
2022-04-01 12:00:06.342291,2022-04-01 15:25:07.131979,0 days 03:25:00.789688
2022-04-01 19:12:06.592597,2022-04-02 04:45:06.960054,0 days 09:33:00.367457
2022-04-02 16:16:06.970021,2022-04-04 04:45:07.182409,1 days 12:29:00.212388
2022-04-04 04:54:06.901477,2022-04-04 07:32:07.096712,0 days 02:38:00.195235
2022-04-04 19:16:06.937393,2022-04-05 04:45:07.016740,0 days 09:29:00.079347
2022-04-05 19:16:06.723703,2022-04-06 04:45:06.904038,0 days 09:29:00.180335
2022-04-06 08:00:06.340994,2022-04-06 11:15:06.860255,0 days 03:15:00.519261
2022-04-06 19:16:06.738097,2022-04-07 04:45:07.166095,0 days 09:29:00.427998
2022-04-07 06:39:07.307939,2022-04-07 08:01:06.428754,0 days 01:21:59.120815
2022-04-07 19:16:06.644858,2022-04-08 04:45:07.017840,0 days 09:29:00.372982
2022-04-08 04:46:06.584723,2022-04-08 06:55:06.721293,0 days 02:09:00.136570
2022-04-08 09:18:07.024527,2022-04-08 17:16:06.393858,0 days 07:57:59.369331
2022-04-08 19:01:06.320151,2022-04-09 04:45:06.507046,0 days 09:44:00.186895
2022-04-09 04:46:07.111399,2022-04-09 05:50:06.995919,0 days 01:03:59.884520
2022-04-09 08:06:07.116843,2022-04-09 09:49:06.996236,0 days 01:42:59.879393
